Test Case ID,Module,Test Description,Expected Result,Priority,Status,Execution Date,Response Time (ms)
B_TC_001,Security-Scan,Verification - Security-Scan step 1,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1174
B_TC_002,DB-Integrity,Verification - DB-Integrity step 2,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1417
B_TC_003,Logic-Validation,Verification - Logic-Validation step 3,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,748
B_TC_004,Rate-Limiting,Verification - Rate-Limiting step 4,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,2029
B_TC_005,Auth-API,Verification - Auth-API step 5,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1629
B_TC_006,Security-Scan,Verification - Security-Scan step 6,Action should succeed,Low,PASSED,2026-07-27 13:04:10,2135
B_TC_007,DB-Integrity,Verification - DB-Integrity step 7,Action should succeed,High,PASSED,2026-07-27 13:04:10,542
B_TC_008,Logic-Validation,Verification - Logic-Validation step 8,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1253
B_TC_009,Rate-Limiting,Verification - Rate-Limiting step 9,Action should succeed,High,PASSED,2026-07-27 13:04:10,2054
B_TC_010,Auth-API,Verification - Auth-API step 10,Action should succeed,High,PASSED,2026-07-27 13:04:10,679
B_TC_011,Security-Scan,Verification - Security-Scan step 11,Action should succeed,High,PASSED,2026-07-27 13:04:10,545
B_TC_012,DB-Integrity,Verification - DB-Integrity step 12,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,2158
B_TC_013,Logic-Validation,Verification - Logic-Validation step 13,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,872
B_TC_014,Rate-Limiting,Verification - Rate-Limiting step 14,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,620
B_TC_015,Auth-API,Verification - Auth-API step 15,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,520
B_TC_016,Security-Scan,Verification - Security-Scan step 16,Action should succeed,High,PASSED,2026-07-27 13:04:10,814
B_TC_017,DB-Integrity,Verification - DB-Integrity step 17,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1858
B_TC_018,Logic-Validation,Verification - Logic-Validation step 18,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1177
B_TC_019,Rate-Limiting,Verification - Rate-Limiting step 19,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,491
B_TC_020,Auth-API,Verification - Auth-API step 20,Action should succeed,Low,PASSED,2026-07-27 13:04:10,943
B_TC_021,Security-Scan,Verification - Security-Scan step 21,Action should succeed,Low,PASSED,2026-07-27 13:04:10,1150
B_TC_022,DB-Integrity,Verification - DB-Integrity step 22,Action should succeed,High,PASSED,2026-07-27 13:04:10,771
B_TC_023,Logic-Validation,Verification - Logic-Validation step 23,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1636
B_TC_024,Rate-Limiting,Verification - Rate-Limiting step 24,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,690
B_TC_025,Auth-API,Verification - Auth-API step 25,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1640
B_TC_026,Security-Scan,Verification - Security-Scan step 26,Action should succeed,Critical,PASSED,2026-07-27 13:04:10,1915
B_TC_027,DB-Integrity,Verification - DB-Integrity step 27,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,686
B_TC_028,Logic-Validation,Verification - Logic-Validation step 28,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1311
B_TC_029,Rate-Limiting,Verification - Rate-Limiting step 29,Action should succeed,Medium,PASSED,2026-07-27 13:04:10,1717
B_TC_030,Auth-API,Verification - Auth-API step 30,Action should succeed,High,PASSED,2026-07-27 13:04:10,830
